==22277== NVPROF is profiling process 22277, command: ./kmeans -i ../data/data_3d_ind.txt
==22277== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22277== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.915000 ms
GPU Elapsed Time : 8568.311523 ms
==22277== Profiling result:
==22277== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sysmem_utilization","System Memory Utilization","Idle (0)","Low (1)","Idle (0)"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_executed","Instructions Executed",24997,27801,26444
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_issued","Instructions Issued",26610,29964,27756
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"issue_slots","Issue Slots",23128,26472,24279
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"nc_l2_read_throughput","L2 Throughput (Non-Coherent Reads)",418.418984MB/s,482.406233MB/s,463.092241MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"nc_l2_read_transactions","L2 Non-Coherent Read Transactions",389,416,409
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"nc_cache_global_hit_rate","Non-Coherent Global Hit Rate",96.657023%,97.020527%,96.781823%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"nc_gld_throughput","Non-Coherent Global Memory Load Throughput",12.516360GB/s,15.130265GB/s,14.405685GB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"nc_gld_efficiency","Non-Coherent Global Load Efficiency",31.594669%,33.148505%,32.453768%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_atomic_throughput","L2 Throughput (Atomic requests)",31.857777MB/s,1.033978GB/s,185.984899MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_fp_32","FP Instructions(Single)",39000,39000,39000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_fp_64","FP Instructions(Double)",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_integer","Integer Instructions",162788,162788,162788
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_control","Control-Flow Instructions",42996,49539,46160
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_compute_ld_st","Load/Store Instructions",128359,144425,134718
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_misc","Misc Instructions",90448,92448,90744
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.034819,0.004733
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"atomic_transactions","Atomic Transactions",16,1255,190
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"atomic_transactions_per_request","Atomic Transactions Per Request",1.000000,26.145833,4.299466
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_l1_read_transactions","L2 Read Transactions (L1 read requests)",125,145,134
