==21767== NVPROF is profiling process 21767, command: ./kmeans -i ../data/data_3d_ind.txt
==21767== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21767== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.919000 ms
GPU Elapsed Time : 3816.992920 ms
==21767== Profiling result:
==21767== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_dp_fma","Floating Point Operations(Double Precison FMA)",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",30,30,30
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",14.317197%,14.317197%,14.317197%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",44.206173%,44.206173%,44.206173%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",9.407324%,9.407324%,9.407324%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_texture","Issue Stall Reasons (Texture)",2.101938%,2.101938%,2.101938%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_sync","Issue Stall Reasons (Synchronization)",16.087465%,16.087465%,16.087465%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"stall_other","Issue Stall Reasons (Other)",8.769958%,8.769958%,8.769958%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l1_shared_utilization","L1/Shared Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"tex_utilization","Texture Cache Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"dram_utilization","Device Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sysmem_utilization","System Memory Utilization","Idle (0)","Idle (0)","Idle (0)"
